GVID-100001,nginx-core-2010-0121
GVID-100002,nginx-cve-2009-2629
GVID-100003,nginx-cve-2009-3555
GVID-100004,nginx-cve-2009-3896
GVID-100005,nginx-cve-2009-3898
GVID-100006,nginx-cve-2010-2263
GVID-100007,nginx-cve-2010-2266
GVID-100008,nginx-cve-2011-4315
GVID-100009,nginx-cve-2011-4963
GVID-100010,nginx-cve-2012-1180
GVID-100011,nginx-cve-2012-2089
GVID-100012,nginx-cve-2013-2028
GVID-100013,nginx-cve-2013-2070
GVID-100014,nginx-cve-2013-4547
GVID-100015,nginx-cve-2014-0088
GVID-100016,nginx-cve-2014-0133
GVID-100017,nginx-cve-2014-3556
GVID-100018,nginx-cve-2014-3616
GVID-100019,nginx-cve-2016-0742
GVID-100020,nginx-cve-2016-0746
GVID-100021,nginx-cve-2016-0747
GVID-100022,nginx-cve-2016-4450
GVID-100023,nginx-cve-2017-7529
GVID-100024,nginx-cve-2018-16843
GVID-100025,nginx-cve-2018-16844
GVID-100026,nginx-cve-2018-16845
GVID-100027,nginx-cve-2019-9511
GVID-100028,nginx-cve-2019-9513
GVID-100029,nginx-cve-2019-9516
GVID-100030,postgres-alter-column-type-dos
GVID-100031,postgres-ascii-bof
GVID-100032,postgres-cash-words-bof
GVID-100033,postgres-char-conv-func
GVID-100034,postgres-circle-poly-bof
GVID-100035,postgres-commit-rollback-v3-log-dos
GVID-100036,postgres-connection-flooding-dos
GVID-100037,postgres-cve-2009-0922
GVID-100038,postgres-cve-2009-3229
GVID-100039,postgres-cve-2009-3230
GVID-100040,postgres-cve-2009-3231
GVID-100041,postgres-cve-2009-4034
GVID-100042,postgres-cve-2009-4136
GVID-100043,postgres-cve-2010-1169
GVID-100044,postgres-cve-2010-1170
GVID-100045,postgres-cve-2010-1975
GVID-100046,postgres-cve-2010-3433
GVID-100047,postgres-cve-2010-4015
GVID-100048,postgres-cve-2012-0866
GVID-100049,postgres-cve-2012-0867
GVID-100050,postgres-cve-2012-0868
GVID-100051,postgres-cve-2012-2143
GVID-100052,postgres-cve-2012-2655
GVID-100053,postgres-cve-2012-3488
GVID-100054,postgres-cve-2012-3489
GVID-100055,postgres-cve-2013-0255
GVID-100056,postgres-cve-2013-1900
GVID-100057,postgres-cve-2013-1901
GVID-100058,postgres-cve-2013-1902
GVID-100059,postgres-cve-2013-1903
GVID-100060,postgres-cve-2014-0060
GVID-100061,postgres-cve-2014-0061
GVID-100062,postgres-cve-2014-0062
GVID-100063,postgres-cve-2014-0063
GVID-100064,postgres-cve-2014-0064
GVID-100065,postgres-cve-2014-0065
GVID-100066,postgres-cve-2014-0066
GVID-100067,postgres-cve-2014-0067
GVID-100068,postgres-cve-2014-8161
GVID-100069,postgres-cve-2015-0241
GVID-100070,postgres-cve-2015-0242
GVID-100071,postgres-cve-2015-0243
GVID-100072,postgres-cve-2015-0244
GVID-100073,postgres-cve-2015-3165
GVID-100074,postgres-cve-2015-3166
GVID-100075,postgres-cve-2015-3167
GVID-100076,postgres-cve-2015-5288
GVID-100077,postgres-cve-2015-5289
GVID-100078,postgres-cve-2016-0766
GVID-100079,postgres-cve-2016-0773
GVID-100080,postgres-cve-2016-2193
GVID-100081,postgres-cve-2016-3065
GVID-100082,postgres-cve-2016-5423
GVID-100083,postgres-cve-2016-5424
GVID-100084,postgres-cve-2016-7048
GVID-100085,postgres-cve-2017-12172
GVID-100086,postgres-cve-2017-15098
GVID-100087,postgres-cve-2017-15099
GVID-100088,postgres-cve-2017-7484
GVID-100089,postgres-cve-2017-7485
GVID-100090,postgres-cve-2017-7486
GVID-100091,postgres-cve-2017-7546
GVID-100092,postgres-cve-2017-7547
GVID-100093,postgres-cve-2017-7548
GVID-100094,postgres-cve-2018-1052
GVID-100095,postgres-cve-2018-1053
GVID-100096,postgres-cve-2018-1058
GVID-100097,postgres-cve-2018-10915
